,발주번호,일련번호,입고구분,발주일자,입고일자,등록일자,입고예정일,바코드,상품코드_WMS_,입고량_pcs_,로케이션_동_,로케이션_존_,로케이션_행열단_,유통기한,lead_time,average_lead_time
0,N22062800001,1,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,8.81E+12,61,600,1,X,20202,2024-01-20,2 days,1 days 00:00:00
1,N22062800001,16,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250061,48,1,Q,20801,2024-10-05,2 days,0 days 14:40:00
2,N22062800001,17,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250011,234,1,Q,20701,2024-06-02,2 days,0 days 19:24:15.319148936
3,N22062800001,18,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250021,"1,000.00",1,X,20603,2099-12-31,2 days,0 days 15:08:18.461538461
4,N22062800001,19,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250041,"2,000.00",1,X,20303,2099-12-31,2 days,0 days 12:23:13.548387096
5,N22062800001,20,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250081,72,1,Q,21701,2099-12-31,2 days,0 days 15:00:00
6,N22062800001,21,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250091,144,1,Q,21701,2099-12-31,2 days,0 days 12:28:48
7,N22062800001,22,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4.99E+12,250101,108,1,Q,20801,2024-11-04,2 days,0 days 16:00:00
8,N22062800001,23,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035509011-O,250671,360,1,X,22303,2099-12-31,2 days,0 days 16:30:00
9,N22062800001,24,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035520214-O,250801,90,1,Q,20701,2024-06-02,2 days,0 days 09:36:00
10,N22062800001,25,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035235514-O,250751,40,1,X,20603,2099-12-31,2 days,0 days 16:27:25.714285714
11,N22062800001,26,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035350811-O,250841,40,1,Q,21101,2099-12-31,2 days,1 days 03:25:42.857142857
12,N22062800001,27,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035606017-O,250651,72,1,Q,21701,2099-12-31,2 days,1 days 06:00:00
13,N22062800001,28,발주입고,2022-06-28,2022-06-30,2022-06-28,2022-07-01,4987035240013-O,250791,144,1,Q,20801,2024-11-04,2 days,0 days 15:21:36
