,상품코드,카테고리
0,10072,식품
1,250272,식품
2,3122,식품
3,61,식품
4,251062,식품
5,250021,식품
6,41,화장품/미용
7,71,식품
8,250262,식품
9,250071,식품
10,11,식품
11,250111,식품
12,250041,식품
13,250483,식품
14,80852,식품
15,250101,식품
16,83,식품
17,250453,식품
18,740126,식품
19,250931,식품
20,250081,식품
21,800081,식품
22,740011,식품
23,740116,식품
24,790421,화장품/미용
25,250423,식품
26,681021,식품
27,250011,식품
28,250993,식품
29,740332,식품
30,3186,식품
31,740261,식품
32,681031,식품
33,250061,패션잡화
34,682021,식품
35,51,식품
36,250413,식품
37,682011,식품
38,740156,화장품/미용
39,250151,식품
40,3165,식품
41,740021,식품
42,790401,식품
43,692051,식품
44,800041,식품
45,810071,식품
46,740176,식품
47,740146,식품
48,692061,식품
49,750172,식품
50,800061,식품
51,691041,식품
52,691031,식품
53,85132,화장품/미용
54,790431,식품
55,810221,식품
56,10081,식품
57,250131,식품
58,213532,식품
59,250091,식품
60,ML0002,출산/육아
61,650902,식품
62,650922,식품
63,10061,식품
64,740051,식품
65,790511,식품
66,810211,식품
67,250911,식품
68,750011,식품
69,800021,식품
70,81012,식품
71,800051,화장품/미용
72,790411,화장품/미용
73,250051,식품
74,250031,식품
75,740136,식품
76,93,화장품/미용
77,692041,식품
78,80491,식품
79,900151,식품
80,81724,식품
81,81673,식품
82,210021,식품
83,210101,화장품/미용
84,740071,식품
85,84943,식품
86,81784,생활건강
87,250322,식품
88,691021,식품
89,81633,식품
90,80111,식품
91,10041,식품
92,650191,식품
93,750031,식품
94,880021,식품
95,80581,식품
96,170071,생활건강
97,740196,식품
98,900011,패션잡화
99,750101,화장품/미용
100,250563,식품
101,800031,식품
102,691051,식품
103,3201,식품
104,880051,식품
105,3046,식품
106,993801,식품
107,800011,식품
108,80461,식품
109,790481,화장품/미용
110,740091,화장품/미용
111,210221,식품
112,880031,식품
113,250332,식품
114,80481,화장품/미용
115,790461,화장품/미용
116,80161,식품
117,900071,식품
118,80121,식품
119,80041,식품
120,80051,식품
121,810241,식품
122,80521,식품
123,650932,식품
124,321722,식품
125,80501,식품
126,80922,식품
127,250443,화장품/미용
128,650912,화장품/미용
129,740041,식품
130,691061,식품
131,250493,식품
132,250641,화장품/미용
133,210813,화장품/미용
134,790451,식품
135,250751,식품
136,82013,식품
137,250791,식품
138,800481,식품
139,81643,식품
140,880041,식품
141,21,식품
142,170291,식품
143,790141,화장품/미용
144,250671,식품
145,740402,식품
146,651122,식품
147,84931,식품
148,85211,식품
149,80331,식품
150,80081,생활건강
151,750332,식품
152,250801,식품
153,250841,식품
154,740276,식품
155,740031,식품
156,85723,식품
157,80031,식품
158,3102,식품
159,80511,식품
160,210091,식품
161,791821,식품
162,810291,식품
163,250681,화장품/미용
164,81941,식품
165,81943,식품
166,740302,식품
167,740186,식품
168,870401,식품
169,250631,식품
170,170231,화장품/미용
171,810251,식품
172,80021,식품
173,250651,식품
174,80061,식품
175,251042,식품
176,81901,식품
177,680015,식품
178,320301,식품
179,810101,식품
180,682041,식품
181,85191,식품
182,210201,출산/육아
183,682031,식품
184,900181,식품
185,85711,식품
186,81953,화장품/미용
187,173812,식품
188,900202,식품
189,900061,식품
190,170031,식품
191,810091,식품
192,320461,식품
193,800431,화장품/미용
194,80211,식품
195,80162,화장품/미용
196,80151,식품
197,900101,식품
198,320471,생활건강
199,85221,식품
200,80022,패션잡화
201,250433,화장품/미용
202,170011,식품
203,810281,식품
204,80261,식품
205,900021,식품
206,85001,식품
207,82151,식품
208,80063,식품
209,80073,출산/육아
210,321881,식품
211,3192,식품
212,81983,식품
213,250761,식품
214,250711,화장품/미용
215,900161,생활건강
216,80351,식품
217,791951,식품
218,80281,식품
219,900041,식품
220,85201,패션잡화
221,85718,식품
222,85701,식품
223,80043,식품
224,85521,식품
225,250901,식품
226,321011,식품
227,320381,식품
228,82111,식품
229,790441,패션잡화
230,320931,식품
231,81871,식품
232,750081,식품
233,320531,식품
234,210491,식품
235,320521,식품
236,250851,화장품/미용
237,83001,식품
238,83961,식품
239,83981,식품
240,80013,식품
241,250342,식품
242,870061,식품
243,82033,화장품/미용
244,810271,식품
245,85751,식품
246,80012,식품
247,82121,식품
248,791961,식품
249,80172,식품
250,900171,식품
251,81632,식품
252,10011,식품
253,251013,식품
254,210411,생활건강
255,210401,생활건강
256,320541,식품
257,321462,식품
258,251003,식품
259,320491,화장품/미용
260,321871,화장품/미용
261,320041,화장품/미용
262,321691,식품
263,880201,식품
264,250723,식품
265,810191,식품
266,82201,식품
267,82101,출산/육아
268,900051,식품
269,790581,식품
270,750061,식품
271,790031,식품
272,82131,식품
273,80103,화장품/미용
274,82141,식품
275,790131,식품
276,85541,식품
277,84001,식품
278,320511,식품
279,791841,식품
280,83971,식품
281,80301,식품
282,170021,식품
283,810201,식품
284,85061,식품
285,322121,화장품/미용
286,320021,식품
287,880001,식품
288,880011,식품
289,250662,식품
290,320361,식품
291,691011,식품
292,85741,식품
293,81963,식품
294,691005,식품
295,750352,식품
296,790471,식품
297,320271,식품
298,800501,식품
299,790271,화장품/미용
300,321001,화장품/미용
301,750362,식품
302,80082,식품
303,320501,식품
304,81754,식품
305,84612,식품
306,210013,식품
307,82071,화장품/미용
308,213514,식품
309,81582,화장품/미용
310,320181,화장품/미용
311,83681,식품
