i,t,y
10011,2022-07-03,2.0
10011,2022-07-04,2.0
10011,2022-07-05,5.0
10011,2022-07-06,3.0
10011,2022-07-07,2.0
10011,2022-07-08,2.0
10011,2022-07-09,2.0
10011,2022-07-29,1.0
10011,2022-07-31,1.0
10011,2022-08-02,2.0
10011,2022-08-04,1.0
10011,2022-08-06,2.0
10011,2022-08-31,3.0
10011,2022-09-02,1.0
10011,2022-09-03,4.0
10011,2022-09-05,1.0
10011,2022-09-06,2.0
10011,2022-09-08,1.0
10011,2022-09-09,1.0
10011,2022-09-12,1.0
10011,2022-09-15,2.0
10011,2022-09-16,1.0
10011,2022-09-17,1.0
10011,2022-09-18,2.0
10011,2022-10-02,1.0
10011,2022-10-04,3.0
10011,2022-10-06,3.0
10011,2022-10-07,3.0
10011,2022-10-08,1.0
10011,2022-10-10,1.0
10011,2022-10-11,1.0
10011,2022-10-13,1.0
10011,2022-10-14,1.0
10011,2022-10-16,1.0
10011,2022-11-01,1.0
10011,2022-11-02,2.0
10011,2022-11-03,1.0
10011,2022-11-04,2.0
10011,2022-11-06,2.0
10011,2022-11-08,1.0
10011,2022-11-12,1.0
10011,2022-11-30,5.0
10011,2022-12-01,2.0
10011,2022-12-02,1.0
10011,2022-12-04,2.0
10011,2022-12-05,2.0
10011,2022-12-06,1.0
10011,2022-12-08,1.0
10011,2022-12-09,1.0
10011,2022-12-10,2.0
10011,2022-12-11,2.0
10011,2022-12-12,3.0
10011,2022-12-13,2.0
10011,2022-12-14,1.0
10011,2022-12-15,3.0
10011,2023-01-01,2.0
10011,2023-01-02,2.0
10011,2023-01-05,3.0
10011,2023-01-06,1.0
10011,2023-01-07,2.0
10011,2023-01-11,1.0
10011,2023-01-30,1.0
10011,2023-02-01,1.0
10011,2023-02-02,1.0
10011,2023-02-07,2.0
10011,2023-02-09,1.0
10011,2023-02-10,1.0
10011,2023-03-03,2.0
10011,2023-03-07,1.0
10011,2023-03-09,1.0
10011,2023-03-10,1.0
10011,2023-03-12,1.0
10011,2023-03-13,1.0
10011,2023-03-16,1.0
10011,2023-03-31,1.0
10011,2023-04-02,2.0
10011,2023-04-05,1.0
10011,2023-04-06,6.0
10011,2023-04-10,2.0
10011,2023-04-11,2.0
10011,2023-04-13,1.0
10011,2023-04-16,1.0
10011,2023-04-28,1.0
10011,2023-05-01,1.0
10011,2023-05-09,3.0
10011,2023-05-10,1.0
10011,2023-05-31,1.0
10011,2023-06-02,1.0
10011,2023-06-05,1.0
10011,2023-06-07,2.0
10011,2023-06-15,1.0
10011,2023-07-01,1.0
10011,2023-07-03,1.0
10011,2023-07-04,1.0
10011,2023-07-05,2.0
10011,2023-07-09,1.0
10011,2023-07-12,1.0
10041,2022-06-30,4.0
10041,2022-07-01,4.0
10041,2022-07-02,4.0
10041,2022-07-03,2.0
10041,2022-07-04,7.0
10041,2022-07-05,2.0
10041,2022-07-06,7.0
10041,2022-07-07,1.0
10041,2022-07-08,1.0
10041,2022-07-09,2.0
10041,2022-07-10,1.0
10041,2022-07-11,4.0
10041,2022-07-30,1.0
10041,2022-07-31,3.0
10041,2022-08-03,2.0
10041,2022-08-04,1.0
10041,2022-08-06,1.0
10041,2022-08-08,1.0
10041,2022-08-09,6.0
10041,2022-08-10,2.0
10041,2022-08-11,1.0
10041,2022-08-31,3.0
10041,2022-09-01,2.0
10041,2022-09-02,5.0
10041,2022-09-04,2.0
10041,2022-09-05,3.0
10041,2022-09-06,1.0
10041,2022-09-07,1.0
10041,2022-09-10,1.0
10041,2022-09-11,3.0
10041,2022-09-12,4.0
10041,2022-09-13,2.0
10041,2022-09-14,6.0
10041,2022-09-15,5.0
10041,2022-09-16,2.0
10041,2022-09-17,1.0
10041,2022-09-18,1.0
10041,2022-10-01,2.0
10041,2022-10-02,1.0
10041,2022-10-03,2.0
10041,2022-10-04,7.0
10041,2022-10-05,6.0
10041,2022-10-06,4.0
10041,2022-10-07,1.0
10041,2022-10-08,1.0
10041,2022-10-09,2.0
10041,2022-10-10,1.0
10041,2022-10-11,1.0
10041,2022-10-12,2.0
10041,2022-10-14,1.0
10041,2022-10-16,2.0
10041,2022-10-31,1.0
10041,2022-11-01,1.0
10041,2022-12-31,1.0
10041,2023-01-01,1.0
10041,2023-01-02,1.0
10041,2023-01-03,2.0
10041,2023-01-04,3.0
10041,2023-01-05,1.0
10041,2023-01-07,4.0
10041,2023-01-08,2.0
