i,t,y
10011,2022-06-30,48.0
10011,2022-07-14,48.0
10011,2022-07-28,24.0
10011,2022-09-07,24.0
10011,2022-10-06,24.0
10011,2022-10-13,48.0
10011,2022-11-23,24.0
10011,2022-12-07,48.0
10011,2022-12-21,48.0
10011,2023-03-02,72.0
10011,2023-04-26,48.0
10041,2022-06-30,72.0
10041,2022-07-06,72.0
10041,2022-07-21,24.0
10041,2022-08-10,120.0
10041,2022-09-15,48.0
10041,2022-09-21,72.0
10041,2022-10-13,48.0
10041,2022-12-21,120.0
10041,2023-01-19,72.0
10041,2023-02-15,24.0
10041,2023-03-02,120.0
10041,2023-05-04,72.0
10041,2023-06-08,24.0
10041,2023-06-15,48.0
10041,2023-06-22,48.0
10041,2023-06-29,24.0
10061,2022-06-30,120.0
10061,2022-07-06,120.0
10061,2022-11-25,240.0
10061,2022-12-21,48.0
10061,2023-02-08,48.0
10061,2023-02-15,24.0
10061,2023-03-02,120.0
10061,2023-04-26,120.0
10061,2023-06-08,24.0
10061,2023-07-06,48.0
10061,2023-07-12,72.0
10072,2022-07-06,0.0
10072,2022-07-14,0.0
10072,2022-07-21,0.0
10072,2022-08-03,0.0
10072,2022-08-18,0.0
10072,2022-08-24,0.0
10072,2022-12-07,0.0
10072,2022-12-21,0.0
10072,2023-01-12,0.0
10072,2023-01-19,0.0
10072,2023-02-08,0.0
10072,2023-02-22,0.0
10072,2023-03-13,0.0
10072,2023-04-04,0.0
10072,2023-05-04,0.0
10072,2023-05-17,0.0
10072,2023-05-24,0.0
10072,2023-06-15,0.0
10072,2023-06-22,0.0
10072,2023-06-29,0.0
10072,2023-07-12,0.0
10081,2022-06-30,120.0
10081,2022-07-06,480.0
10081,2022-07-21,72.0
10081,2022-07-28,144.0
10081,2022-08-03,240.0
10081,2022-09-07,24.0
10081,2022-09-15,96.0
10081,2022-10-06,240.0
10081,2022-10-26,72.0
10081,2022-11-16,120.0
10081,2022-11-30,72.0
10081,2022-12-07,120.0
10081,2022-12-14,48.0
10081,2022-12-21,120.0
10081,2023-01-05,24.0
10081,2023-01-12,120.0
10081,2023-01-30,48.0
10081,2023-02-08,72.0
10081,2023-03-02,360.0
10081,2023-04-26,72.0
10081,2023-05-24,48.0
10081,2023-06-08,48.0
10081,2023-06-15,48.0
10081,2023-06-29,24.0
10081,2023-07-06,24.0
10081,2023-07-12,48.0
11,2022-06-30,192.0
11,2022-07-06,24.0
11,2022-07-14,240.0
11,2022-07-21,168.0
11,2022-07-28,48.0
11,2022-08-03,288.0
11,2022-08-18,240.0
11,2022-08-24,240.0
11,2022-08-31,168.0
11,2022-09-07,168.0
11,2022-09-15,120.0
11,2022-09-21,168.0
11,2022-09-28,48.0
11,2022-10-06,120.0
11,2022-10-13,240.0
11,2022-10-19,120.0
11,2022-10-26,72.0
11,2022-11-02,24.0
11,2022-11-09,192.0
11,2022-11-16,24.0
11,2022-11-23,120.0
11,2022-11-30,120.0
11,2022-12-07,24.0
11,2022-12-14,168.0
11,2022-12-21,120.0
11,2023-01-05,120.0
11,2023-01-12,360.0
11,2023-01-30,72.0
11,2023-02-02,168.0
11,2023-02-08,240.0
11,2023-02-15,144.0
11,2023-02-22,48.0
11,2023-03-02,144.0
11,2023-03-08,144.0
11,2023-03-13,144.0
11,2023-03-22,168.0
11,2023-03-29,72.0
11,2023-04-04,120.0
11,2023-04-11,144.0
11,2023-04-19,120.0
11,2023-05-04,120.0
11,2023-05-11,96.0
11,2023-05-17,96.0
11,2023-05-24,240.0
11,2023-06-01,72.0
11,2023-06-08,120.0
11,2023-06-15,72.0
11,2023-06-22,240.0
11,2023-06-29,120.0
11,2023-07-06,120.0
11,2023-07-12,168.0
11,2023-07-20,168.0
11,2023-07-27,144.0
170011,2023-02-09,50.0
170031,2022-11-10,50.0
170031,2022-11-24,50.0
170031,2022-12-28,50.0
170031,2023-06-02,50.0
170071,2022-07-06,150.0
170071,2022-08-10,60.0
170071,2022-08-22,60.0
170071,2022-09-07,60.0
170071,2022-09-16,90.0
170071,2022-10-07,60.0
170071,2022-11-18,90.0
170071,2022-12-14,90.0
170071,2023-01-09,60.0
170071,2023-01-16,30.0
170071,2023-02-09,60.0
170071,2023-02-24,60.0
170071,2023-03-10,60.0
170071,2023-04-07,60.0
170071,2023-04-13,60.0
170071,2023-05-15,60.0
170071,2023-05-26,60.0
170071,2023-06-14,60.0
170291,2023-01-20,30.0
170291,2023-04-03,30.0
170291,2023-04-13,30.0
170291,2023-06-14,60.0
170291,2023-06-28,120.0
173812,2022-08-22,2.0
21,2022-06-30,216.0
21,2022-07-06,24.0
21,2022-07-14,120.0
21,2022-07-21,72.0
21,2022-07-28,96.0
21,2022-08-03,192.0
21,2022-08-18,168.0
21,2022-08-31,120.0
21,2022-09-07,96.0
21,2022-09-21,96.0
21,2022-09-28,72.0
21,2022-10-06,48.0
21,2022-10-13,72.0
21,2022-10-19,120.0
21,2022-11-02,72.0
21,2022-11-09,48.0
21,2022-11-16,120.0
21,2022-11-30,48.0
21,2022-12-14,312.0
21,2022-12-21,240.0
21,2023-01-19,24.0
21,2023-02-02,120.0
21,2023-02-08,72.0
21,2023-02-22,48.0
21,2023-03-08,48.0
21,2023-03-13,72.0
21,2023-03-22,72.0
21,2023-03-29,72.0
21,2023-04-04,72.0
21,2023-04-19,48.0
21,2023-04-26,96.0
21,2023-05-04,72.0
21,2023-05-11,48.0
21,2023-05-17,24.0
210013,2023-06-15,182.0
210013,2023-07-20,120.0
210021,2022-08-02,120.0
210021,2022-08-29,28.0
210021,2022-09-02,120.0
210021,2022-09-22,360.0
210021,2022-10-13,360.0
210021,2022-11-25,360.0
210021,2023-02-02,720.0
210021,2023-03-28,240.0
210021,2023-04-25,240.0
210021,2023-05-22,360.0
210021,2023-06-12,120.0
210091,2022-08-29,9.0
210091,2022-10-13,60.0
210091,2022-11-25,120.0
210091,2023-02-16,120.0
210101,2022-07-06,250.0
210101,2022-07-15,230.0
210101,2022-07-20,360.0
210101,2022-08-02,240.0
210101,2022-08-19,120.0
210101,2022-08-24,120.0
210101,2022-08-29,116.0
210101,2022-09-02,300.0
210101,2022-09-15,360.0
210101,2022-09-22,240.0
210101,2022-10-27,240.0
210101,2022-11-25,120.0
210101,2022-12-19,180.0
210101,2023-01-03,180.0
210101,2023-02-02,360.0
210101,2023-02-16,120.0
210101,2023-05-22,240.0
210201,2022-09-20,60.0
210201,2022-09-22,240.0
210201,2023-02-08,120.0
210201,2023-05-22,240.0
210221,2022-08-02,120.0
210221,2022-08-29,148.0
210221,2022-11-02,120.0
210221,2022-11-25,120.0
210221,2022-12-21,180.0
210221,2023-02-02,720.0
210401,2023-06-15,267.0
210401,2023-07-13,600.0
210411,2023-06-15,253.0
210491,2023-06-15,307.0
210491,2023-07-13,600.0
210813,2022-08-23,60.0
210813,2022-09-02,60.0
210813,2022-10-12,60.0
210813,2022-10-19,120.0
210813,2022-11-02,120.0
210813,2022-12-02,180.0
210813,2023-01-05,36.0
210813,2023-03-28,240.0
210813,2023-05-24,120.0
213514,2022-07-22,120.0
213514,2023-03-27,60.0
213532,2022-07-27,150.0
213532,2023-01-13,0.0
250011,2022-06-30,234.0
250011,2022-07-06,135.0
250011,2022-07-14,189.0
250011,2022-07-21,360.0
250011,2022-07-28,405.0
250011,2022-08-18,405.0
250011,2022-08-31,180.0
250011,2022-09-07,90.0
250011,2022-09-15,90.0
250011,2022-09-21,360.0
250011,2022-09-28,135.0
250011,2022-10-06,180.0
250011,2022-10-13,270.0
250011,2022-10-26,45.0
250011,2022-11-02,90.0
250011,2022-11-09,180.0
250011,2022-11-16,225.0
250011,2022-11-23,90.0
250011,2022-12-01,45.0
250011,2022-12-07,225.0
250011,2022-12-14,135.0
250011,2022-12-22,90.0
250011,2023-01-05,315.0
250011,2023-01-12,225.0
250011,2023-01-19,225.0
250011,2023-01-30,90.0
250011,2023-02-02,270.0
250011,2023-02-08,999.0
250011,2023-02-15,279.0
250011,2023-03-08,207.0
250011,2023-03-13,225.0
250011,2023-03-22,180.0
250011,2023-03-29,198.0
250011,2023-04-11,180.0
250011,2023-04-26,180.0
250011,2023-05-04,90.0
250011,2023-05-11,450.0
250011,2023-05-17,90.0
250011,2023-05-24,270.0
250011,2023-06-01,270.0
250011,2023-06-08,270.0
250011,2023-06-22,270.0
250011,2023-06-29,450.0
250011,2023-07-06,270.0
250011,2023-07-20,180.0
250011,2023-07-27,270.0
250021,2022-06-30,0.0
250021,2022-07-06,0.0
250021,2022-07-14,1.0
250021,2022-07-21,1.0
250021,2022-07-28,2800.0
250021,2022-08-03,1.0
250021,2022-08-18,3.0
250021,2022-08-24,1.0
250021,2022-08-31,1.0
250021,2022-09-07,1.0
250021,2022-09-15,0.0
250021,2022-09-21,1.0
250021,2022-09-28,3200.0
250021,2022-10-13,1.0
250021,2022-10-19,0.0
250021,2022-10-26,1.0
250021,2022-11-02,1.0
250021,2022-11-09,0.0
250021,2022-11-16,0.0
250021,2022-11-23,1.0
250021,2022-12-01,3.0
250021,2022-12-14,1.0
250021,2022-12-22,3200.0
250021,2023-01-05,2.0
250021,2023-01-12,3.0
250021,2023-01-19,3.0
250021,2023-01-30,2.0
250021,2023-02-02,5.0
250021,2023-02-08,10000.0
250021,2023-02-15,5200.0
250021,2023-03-02,3400.0
250021,2023-03-08,3400.0
250021,2023-03-13,0.0
250021,2023-03-22,0.0
250021,2023-03-29,2600.0
250021,2023-04-04,2040.0
250021,2023-04-11,0.0
250021,2023-04-19,0.0
250021,2023-04-26,1.0
250021,2023-05-04,0.0
250021,2023-05-11,0.0
250021,2023-05-17,1.0
250021,2023-05-24,0.0
250021,2023-06-01,0.0
250021,2023-06-08,0.0
250021,2023-06-15,1.0
250021,2023-06-22,0.0
250021,2023-07-06,0.0
250021,2023-07-12,1.0
250021,2023-07-20,1840.0
250021,2023-07-27,1.0
250031,2022-07-06,40.0
250031,2022-10-13,40.0
250031,2022-11-09,40.0
250031,2022-12-07,40.0
250031,2022-12-14,40.0
250031,2023-01-05,40.0
250031,2023-01-12,40.0
250031,2023-01-19,160.0
250031,2023-03-02,40.0
250031,2023-03-29,40.0
250031,2023-04-11,160.0
250031,2023-05-24,40.0
250031,2023-06-01,40.0
250031,2023-06-08,40.0
250031,2023-06-22,40.0
250031,2023-06-29,120.0
250041,2022-06-30,0.0
250041,2022-07-06,1.0
250041,2022-07-14,0.0
250041,2022-07-21,0.0
250041,2022-07-28,4000.0
250041,2022-08-03,1.0
250041,2022-08-18,1.0
250041,2022-08-24,1.0
250041,2022-08-31,0.0
250041,2022-09-07,2.0
250041,2022-09-15,1.0
250041,2022-09-21,2400.0
250041,2022-09-28,4800.0
250041,2022-10-06,1.0
250041,2022-10-13,3200.0
250041,2022-10-19,3600.0
250041,2022-10-26,4000.0
250041,2022-11-02,3.0
250041,2022-11-09,0.0
250041,2022-11-16,0.0
250041,2022-11-23,3.0
250041,2022-12-01,0.0
250041,2022-12-14,3400.0
250041,2022-12-22,6800.0
250041,2023-01-05,3.0
250041,2023-01-12,5.0
250041,2023-01-19,5.0
250041,2023-01-30,2.0
250041,2023-02-02,7.0
250041,2023-02-08,15800.0
250041,2023-02-15,6000.0
250041,2023-03-02,6000.0
250041,2023-03-08,5200.0
250041,2023-03-13,4000.0
250041,2023-03-22,4000.0
250041,2023-03-29,4400.0
250041,2023-04-04,2241.0
250041,2023-04-11,3200.0
250041,2023-04-19,4000.0
250041,2023-04-26,2.0
250041,2023-05-04,0.0
250041,2023-05-11,3600.0
250041,2023-05-17,4400.0
250041,2023-05-24,0.0
250041,2023-06-01,2400.0
250041,2023-06-08,2800.0
250041,2023-06-15,2400.0
250041,2023-06-22,0.0
250041,2023-06-29,0.0
250041,2023-07-06,2.0
250041,2023-07-12,2400.0
250041,2023-07-20,1840.0
250041,2023-07-27,2240.0
250051,2022-08-31,40.0
250051,2022-10-06,40.0
250051,2022-10-26,40.0
250051,2022-11-16,40.0
250051,2022-12-14,40.0
250051,2023-01-05,40.0
250051,2023-01-12,40.0
250051,2023-01-19,160.0
250051,2023-03-02,40.0
250051,2023-03-22,80.0
250051,2023-04-19,40.0
250051,2023-05-24,40.0
250051,2023-06-22,40.0
250061,2022-06-30,48.0
250061,2022-07-28,120.0
250061,2022-08-18,120.0
250061,2022-08-24,120.0
250061,2022-08-31,96.0
250061,2022-09-21,24.0
250061,2022-09-28,24.0
250061,2022-10-06,96.0
250061,2022-10-13,168.0
250061,2022-10-26,72.0
250061,2022-11-23,24.0
250061,2022-12-07,120.0
250061,2022-12-14,48.0
250061,2022-12-22,48.0
250061,2023-01-05,360.0
250061,2023-01-12,240.0
250061,2023-01-19,240.0
250061,2023-02-02,240.0
250061,2023-02-08,312.0
250061,2023-02-15,240.0
250061,2023-03-02,240.0
250061,2023-03-08,240.0
250061,2023-05-04,192.0
250061,2023-05-17,120.0
250061,2023-06-01,120.0
250061,2023-06-08,240.0
250061,2023-06-15,240.0
250061,2023-06-29,720.0
250061,2023-07-12,240.0
250061,2023-07-20,480.0
250061,2023-07-27,960.0
250071,2022-06-30,9720.0
250071,2022-07-06,8.0
250071,2022-07-14,7.0
250071,2022-07-21,5850.0
250071,2022-07-28,12.0
250071,2022-08-03,5400.0
