i,t,y
10011,2022-07-04,44.0
10011,2022-07-11,30.0
10011,2022-07-18,78.0
10011,2022-07-25,78.0
10011,2022-08-01,100.0
10011,2022-08-08,95.0
10011,2022-08-15,95.0
10011,2022-08-22,95.0
10011,2022-08-29,95.0
10011,2022-09-05,86.0
10011,2022-09-12,105.0
10011,2022-09-19,99.0
10011,2022-09-26,99.0
10011,2022-10-03,98.0
10011,2022-10-10,111.0
10011,2022-10-17,155.0
10011,2022-10-24,155.0
10011,2022-10-31,155.0
10011,2022-11-07,147.0
10011,2022-11-14,145.0
10011,2022-11-21,145.0
10011,2022-11-28,169.0
10011,2022-12-05,157.0
10011,2022-12-12,195.0
10011,2022-12-19,189.0
10011,2022-12-26,237.0
10011,2023-01-02,233.0
10011,2023-01-09,227.0
10011,2023-01-16,226.0
10011,2023-01-23,226.0
10011,2023-01-30,225.0
10011,2023-02-06,223.0
10011,2023-02-13,219.0
10011,2023-02-20,219.0
10011,2023-02-27,219.0
10011,2023-03-06,289.0
10011,2023-03-13,284.0
10011,2023-03-20,283.0
10011,2023-03-27,283.0
10011,2023-04-03,280.0
10011,2023-04-10,271.0
10011,2023-04-17,267.0
10011,2023-04-24,267.0
10011,2023-05-01,313.0
10011,2023-05-08,313.0
10011,2023-05-15,309.0
10011,2023-05-22,309.0
10011,2023-05-29,309.0
10011,2023-06-05,306.0
10011,2023-06-12,304.0
10011,2023-06-19,303.0
10011,2023-06-26,303.0
10011,2023-07-03,301.0
10011,2023-07-10,297.0
10011,2023-07-17,296.0
10011,2023-07-24,296.0
10011,2023-07-31,296.0
10041,2022-07-04,51.0
10041,2022-07-11,105.0
10041,2022-07-18,105.0
10041,2022-07-25,129.0
10041,2022-08-01,125.0
10041,2022-08-08,120.0
10041,2022-08-15,231.0
10041,2022-08-22,231.0
10041,2022-08-29,231.0
10041,2022-09-05,216.0
10041,2022-09-12,206.0
10041,2022-09-19,237.0
10041,2022-09-26,309.0
10041,2022-10-03,304.0
10041,2022-10-10,282.0
10041,2022-10-17,324.0
10041,2022-10-24,324.0
10041,2022-10-31,323.0
10041,2022-11-07,322.0
10041,2022-11-14,322.0
10041,2022-11-21,322.0
10041,2022-11-28,322.0
10041,2022-12-05,322.0
10041,2022-12-12,322.0
10041,2022-12-19,322.0
10041,2022-12-26,442.0
10041,2023-01-02,439.0
10041,2023-01-09,422.0
10041,2023-01-16,414.0
10041,2023-01-23,486.0
10041,2023-01-30,486.0
10041,2023-02-06,476.0
10041,2023-02-13,465.0
10041,2023-02-20,488.0
10041,2023-02-27,488.0
10041,2023-03-06,599.0
10041,2023-03-13,593.0
10041,2023-03-20,587.0
10041,2023-03-27,587.0
10041,2023-04-03,580.0
10041,2023-04-10,571.0
10041,2023-04-17,562.0
10041,2023-04-24,562.0
10041,2023-05-01,558.0
10041,2023-05-08,621.0
10041,2023-05-15,619.0
10041,2023-05-22,619.0
10041,2023-05-29,619.0
10041,2023-06-05,610.0
10041,2023-06-12,617.0
10041,2023-06-19,657.0
10041,2023-06-26,705.0
10041,2023-07-03,720.0
10041,2023-07-10,711.0
10041,2023-07-17,710.0
10041,2023-07-24,710.0
10041,2023-07-31,710.0
10061,2022-07-04,83.0
10061,2022-07-11,142.0
10061,2022-07-18,140.0
10061,2022-07-25,140.0
10061,2022-08-01,124.0
10061,2022-08-08,124.0
10061,2022-08-15,124.0
10061,2022-08-22,124.0
10061,2022-08-29,124.0
10061,2022-09-05,124.0
10061,2022-09-12,124.0
10061,2022-09-19,124.0
10061,2022-09-26,124.0
10061,2022-10-03,124.0
10061,2022-10-10,124.0
10061,2022-10-17,124.0
10061,2022-10-24,124.0
10061,2022-10-31,124.0
10061,2022-11-07,124.0
10061,2022-11-14,124.0
10061,2022-11-21,124.0
10061,2022-11-28,364.0
10061,2022-12-05,346.0
10061,2022-12-12,334.0
10061,2022-12-19,324.0
10061,2022-12-26,372.0
10061,2023-01-02,369.0
10061,2023-01-09,356.0
10061,2023-01-16,350.0
10061,2023-01-23,350.0
10061,2023-01-30,350.0
10061,2023-02-06,333.0
10061,2023-02-13,368.0
10061,2023-02-20,392.0
10061,2023-02-27,392.0
10061,2023-03-06,503.0
10061,2023-03-13,482.0
10061,2023-03-20,476.0
10061,2023-03-27,476.0
10061,2023-04-03,469.0
10061,2023-04-10,461.0
10061,2023-04-17,451.0
10061,2023-04-24,451.0
10061,2023-05-01,566.0
10061,2023-05-08,559.0
10061,2023-05-15,549.0
10061,2023-05-22,549.0
10061,2023-05-29,547.0
10061,2023-06-05,536.0
10061,2023-06-12,548.0
10061,2023-06-19,544.0
10061,2023-06-26,544.0
10061,2023-07-03,535.0
10061,2023-07-10,566.0
10061,2023-07-17,634.0
10061,2023-07-24,634.0
10061,2023-07-31,634.0
10072,2022-07-04,10586.0
10072,2022-07-11,9897.0
10072,2022-07-18,9886.0
10072,2022-07-25,9884.0
10072,2022-08-01,9647.0
10072,2022-08-08,9243.0
10072,2022-08-15,8604.0
10072,2022-08-22,8604.0
10072,2022-08-29,8590.0
10072,2022-09-05,8286.0
10072,2022-09-12,8040.0
10072,2022-09-19,7866.0
10072,2022-09-26,7866.0
10072,2022-10-03,7735.0
10072,2022-10-10,7499.0
10072,2022-10-17,7365.0
10072,2022-10-24,7365.0
10072,2022-10-31,7340.0
10072,2022-11-07,7089.0
10072,2022-11-14,6932.0
10072,2022-11-21,6932.0
10072,2022-11-28,6926.0
10072,2022-12-05,6712.0
10072,2022-12-12,6461.0
10072,2022-12-19,6329.0
10072,2022-12-26,6328.0
10072,2023-01-02,6150.0
10072,2023-01-09,5772.0
10072,2023-01-16,5556.0
10072,2023-01-23,5556.0
10072,2023-01-30,5549.0
10072,2023-02-06,5182.0
10072,2023-02-13,4796.0
10072,2023-02-20,4774.0
10072,2023-02-27,4761.0
10072,2023-03-06,4468.0
10072,2023-03-13,4129.0
10072,2023-03-20,4000.0
10072,2023-03-27,3997.0
10072,2023-04-03,3848.0
10072,2023-04-10,3545.0
10072,2023-04-17,3310.0
10072,2023-04-24,3304.0
10072,2023-05-01,2940.0
10072,2023-05-08,2275.0
10072,2023-05-15,1990.0
10072,2023-05-22,1990.0
10072,2023-05-29,1973.0
10072,2023-06-05,1557.0
10072,2023-06-12,1102.0
10072,2023-06-19,955.0
10072,2023-06-26,951.0
10072,2023-07-03,668.0
10072,2023-07-10,104.0
10072,2023-07-17,0.0
10072,2023-07-24,0.0
10072,2023-07-31,0.0
10081,2022-07-04,58.0
10081,2022-07-11,465.0
10081,2022-07-18,463.0
10081,2022-07-25,535.0
10081,2022-08-01,653.0
10081,2022-08-08,846.0
10081,2022-08-15,823.0
10081,2022-08-22,823.0
10081,2022-08-29,823.0
10081,2022-09-05,791.0
10081,2022-09-12,793.0
10081,2022-09-19,862.0
10081,2022-09-26,862.0
10081,2022-10-03,854.0
10081,2022-10-10,1060.0
10081,2022-10-17,1030.0
10081,2022-10-24,1030.0
10081,2022-10-31,1102.0
10081,2022-11-07,1074.0
10081,2022-11-14,1050.0
10081,2022-11-21,1170.0
10081,2022-11-28,1170.0
10081,2022-12-05,1221.0
10081,2022-12-12,1285.0
10081,2022-12-19,1314.0
10081,2022-12-26,1434.0
10081,2023-01-02,1424.0
10081,2023-01-09,1416.0
10081,2023-01-16,1529.0
10081,2023-01-23,1529.0
10081,2023-01-30,1577.0
10081,2023-02-06,1550.0
10081,2023-02-13,1598.0
10081,2023-02-20,1598.0
10081,2023-02-27,1597.0
10081,2023-03-06,1936.0
10081,2023-03-13,1922.0
10081,2023-03-20,1906.0
10081,2023-03-27,1906.0
10081,2023-04-03,1887.0
10081,2023-04-10,1872.0
10081,2023-04-17,1858.0
10081,2023-04-24,1858.0
10081,2023-05-01,1921.0
10081,2023-05-08,1904.0
10081,2023-05-15,1894.0
10081,2023-05-22,1894.0
10081,2023-05-29,1941.0
10081,2023-06-05,1925.0
10081,2023-06-12,1955.0
10081,2023-06-19,1997.0
10081,2023-06-26,1997.0
10081,2023-07-03,2016.0
10081,2023-07-10,2025.0
10081,2023-07-17,2068.0
10081,2023-07-24,2068.0
10081,2023-07-31,2068.0
11,2022-07-04,121.0
11,2022-07-11,0.0
11,2022-07-18,238.0
11,2022-07-25,406.0
11,2022-08-01,397.0
11,2022-08-08,562.0
11,2022-08-15,515.0
11,2022-08-22,755.0
11,2022-08-29,992.0
11,2022-09-05,1043.0
11,2022-09-12,1092.0
11,2022-09-19,1098.0
11,2022-09-26,1265.0
11,2022-10-03,1243.0
11,2022-10-10,1224.0
11,2022-10-17,1363.0
11,2022-10-24,1483.0
11,2022-10-31,1542.0
11,2022-11-07,1427.0
11,2022-11-14,1554.0
11,2022-11-21,1578.0
11,2022-11-28,1698.0
11,2022-12-05,1751.0
11,2022-12-12,1672.0
